id,name,address
1,Hilton Garden Inn Seattle Downtown,"1821 Boren Avenue, Seattle Washington 98101 USA"
2,Sheraton Grand Seattle,"1400 6th Avenue, Seattle, Washington 98101 USA"
3,Crowne Plaza Seattle Downtown,"1113 6th Ave, Seattle, WA 98101"
4,Kimpton Hotel Monaco Seattle ,"1101 4th Ave, Seattle, WA98101"
5,The Westin Seattle,"1900 5th Avenue, Seattle, Washington 98101 USA"
6,The Paramount Hotel Seattle,"724 Pine Street, Seattle Central Business District, Seattle, WA 98101"
7,Hilton Seattle,"1301 6th Avenue Seattle, Washington, 98101-2314, USA"
8,Motif Seattle,"1415 Fifth Ave Seattle, WA 98101 "
9,Warwick Seattle,"401 Lenora Street Seattle, Washington 98121"
10,Hilton Garden Inn Seattle Downtown,"1821 Boren Ave, Seattle WA 98101 USA"
11,Four Seasons Hotel Seattle,"99 Union St, Seattle, WA 98101"
12,W Seattle,"1112 4th Ave, Seattle, WA 98101"
13,Crowne Plaza Seattle,"1113 6th Ave, Seattle, Washington 98101"
14,Gand Hyatt Seattle,"721 Pine St, Seattle, WA 98101"
15,Kimpton Alexis Hotel,"1007 1st Ave, Seattle, WA 98104"
16,Hotel Max,"620 Stewart St, Seattle, WA 98101"
17,Ace Hotel Seattle,"2423 1st Ave, Seattle, WA 98121"
18,Seattle Marriott Waterfront,"2100 Alaskan Way, Seattle, WA 98121"
19,The Edgewater Hotel Seattle,"2411 Alaskan Way, Seattle, WA 98121"
20,SpringHill Suites Seattle Downtown,"1800 Yale Ave, Seattle, WA 98101"
21,Fairmont Olympic Hotel,"411 University St, Seattle, WA 98101"
22,La Quinta Inn & Suites Seattle Downtown,"2224 8th Ave, Seattle, WA 98121"
23,Embassy Suites by Hilton Seattle Downtown Pioneer Square,"255 S King St, Seattle, WA 98104"
24,Pan Pacific Seattle,"2125 Terry Ave, Seattle, WA 98121"
25,Kimpton Hotel Vintage Seattle,"1100 5th Ave, Seattle, WA 98101"
